"brand","delivery","detailPageUrl","id","imageUrl","originalPrice","price","productName","promotion","rating","reviewsCount","salePercent","scrapedAt","searchUrl"
"b_b","24 мая","https://www.wildberries.ru/catalog/958804302/detail.aspx","958804302","https://basket-40.wbbasket.ru/vol9588/part958804/958804302/images/c516x688/1.webp","1 245 ₽","457 ₽","/ 1шт. Светодиодная подсветка Tv 50 Js-d-jp5020-b51ec Type B","","",,"−62%−62%","2026-05-20T20:48:55.237Z","https://www.wildberries.ru/catalog/0/search.aspx?sort=priceup&search=%D1%82%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B7%D0%BE%D1%80"
"","24 мая","https://www.wildberries.ru/catalog/954490530/detail.aspx","954490530","https://basket-40.wbbasket.ru/vol9544/part954490/954490530/images/c516x688/1.webp","1 245 ₽","457 ₽","/ 1шт. Светодиодная подсветка Tv 40 Samsung 2013SVS40F L 8","","",,"−62%−62%","2026-05-20T20:48:55.237Z","https://www.wildberries.ru/catalog/0/search.aspx?sort=priceup&search=%D1%82%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B7%D0%BE%D1%80"
"","24 мая","https://www.wildberries.ru/catalog/954486470/detail.aspx","954486470","https://basket-40.wbbasket.ru/vol9544/part954486/954486470/images/c516x688/1.webp","1 315 ₽","483 ₽","/ 1шт. Светодиодная подсветка Tv 47 Row2 1 Rev0 7 1 R2-Type Tv","","",,"−62%−62%","2026-05-20T20:48:55.237Z","https://www.wildberries.ru/catalog/0/search.aspx?sort=priceup&search=%D1%82%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B7%D0%BE%D1%80"
"","24 мая","https://www.wildberries.ru/catalog/956854167/detail.aspx","956854167","https://basket-40.wbbasket.ru/vol9568/part956854/956854167/images/c516x688/1.webp","1 315 ₽","483 ₽","/ 1шт. Светодиодная подсветка Tv 43 2015ARC430 L 5 линз","","",,"−62%−62%","2026-05-20T20:48:55.237Z","https://www.wildberries.ru/catalog/0/search.aspx?sort=priceup&search=%D1%82%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B7%D0%BE%D1%80"
"","24 мая","https://www.wildberries.ru/catalog/956854263/detail.aspx","956854263","https://basket-40.wbbasket.ru/vol9568/part956854/956854263/images/c516x688/1.webp","1 376 ₽","505 ₽","/ 1шт. Светодиодная подсветка Tv 50 2015 Svs50 Fhd Fcom R5","","",,"−62%−62%","2026-05-20T20:48:55.237Z","https://www.wildberries.ru/catalog/0/search.aspx?sort=priceup&search=%D1%82%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B7%D0%BE%D1%80"
"","24 мая","https://www.wildberries.ru/catalog/954469720/detail.aspx","954469720","https://basket-40.wbbasket.ru/vol9544/part954469/954469720/images/c516x688/1.webp","1 386 ₽","509 ₽","/ 1шт. Светодиоднаяподсветка Tv 50 Row2 1 Rev 0 4 1 R1-Type","","",,"−62%−62%","2026-05-20T20:48:55.237Z","https://www.wildberries.ru/catalog/0/search.aspx?sort=priceup&search=%D1%82%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B7%D0%BE%D1%80"
"b_b","24 мая","https://www.wildberries.ru/catalog/958802196/detail.aspx","958802196","https://basket-40.wbbasket.ru/vol9588/part958802/958802196/images/c516x688/1.webp","1 386 ₽","509 ₽","/ 1шт. Светодиодная подсветка Tv 50 Row2 1 Rev 0 4 1 L1-Type","","",,"−62%−62%","2026-05-20T20:48:55.237Z","https://www.wildberries.ru/catalog/0/search.aspx?sort=priceup&search=%D1%82%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B7%D0%BE%D1%80"
"","15 июня","https://www.wildberries.ru/catalog/808922222/detail.aspx","808922222","https://basket-37.wbbasket.ru/vol8089/part808922/808922222/images/c516x688/1.webp","1 098 ₽","510 ₽","/ Для дистанционного управления N2QAYB000830","РАСПРОДАЖА","",,"−52%−52%","2026-05-20T20:48:55.237Z","https://www.wildberries.ru/catalog/0/search.aspx?sort=priceup&search=%D1%82%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B7%D0%BE%D1%80"
"b_b","24 мая","https://www.wildberries.ru/catalog/958804106/detail.aspx","958804106","https://basket-40.wbbasket.ru/vol9588/part958804/958804106/images/c516x688/1.webp","1 502 ₽","552 ₽","/ 1шт. Светодиодная подсветка Tv 43","","",,"−62%−62%","2026-05-20T20:48:55.237Z","https://www.wildberries.ru/catalog/0/search.aspx?sort=priceup&search=%D1%82%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B7%D0%BE%D1%80"
"b_b","24 мая","https://www.wildberries.ru/catalog/958802224/detail.aspx","958802224","https://basket-40.wbbasket.ru/vol9588/part958802/958802224/images/c516x688/1.webp","1 597 ₽","587 ₽","/ 1шт. Светодиодная подсветка Tv 49 V17 Art3 2862 Rev0 2","","",,"−62%−62%","2026-05-20T20:48:55.237Z","https://www.wildberries.ru/catalog/0/search.aspx?sort=priceup&search=%D1%82%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B7%D0%BE%D1%80"
