leadScore,leadType,isBroker,isInvestor,isWorkOpportunity,businessName,contactName,email,phone,website,city,state,country,address,category,tags,rating,reviewCount,description,source,googleMapsUrl,listingUrl,notes,commissionPitch,scrapedAt
Medium,general,false,false,false,Viva Wyndham Maya,,,,,Playa del Carmen,Quintana Roo,Mexico,,Hotel,"hospitality, openstreetmap",,0,,OpenStreetMap,"https://maps.google.com/?q=20.6068661,-87.0898595",https://www.openstreetmap.org/node/276198795,Visit Google Maps listing to get contact info,"Hola Viva Wyndham Maya, espero que estén teniendo un excelente día en Playa del Carmen. Me dirijo a ustedes porque somos una empresa de construcción premium en la Riviera Maya y nos gustaría explorar oportunidades de colaboración con su establecimiento hotelero. En Recrea Construction, ofrecemos servicios de construcción y remodelación de alta calidad, diseñados para satisfacer las necesidades únicas de nuestros clientes. Me encantaría discutir cómo podemos apoyar a Viva Wyndham Maya en sus proyectos de construcción o remodelación. ¿Podríamos programar una reunión o conversar por WhatsApp para explorar oportunidades de colaboración? Estoy a su disposición. Recrea Construction Riviera Maya",2026-03-14T01:29:04.427Z
Medium,general,false,false,false,Viva Wyndham Azteca,,,,,Playa del Carmen,Quintana Roo,Mexico,,Hotel,"hospitality, openstreetmap",,0,,OpenStreetMap,"https://maps.google.com/?q=20.6107871,-87.0870982",https://www.openstreetmap.org/node/276201829,Visit Google Maps listing to get contact info,"Hola Viva Wyndham Azteca, espero que estén teniendo un excellent día en Playa del Carmen. Me dirijo a ustedes porque entendemos que como hotel en la zona, es importante contar con espacios y estructuras de alta calidad. En Recrea Construction nos especializamos en ofrecer servicios de construcción premium en la Riviera Maya, desde diseño y planificación hasta la culminación de proyectos. Nos encantaría explorar cómo podemos ayudar a Viva Wyndham Azteca a mejorar o expandir sus instalaciones. ¿Podríamos programar una reunión para discutir más a fondo nuestras opciones? Estoy disponible para charlar por WhatsApp si lo prefiere. 

Recrea Construction Riviera Maya",2026-03-14T01:29:05.318Z
Medium,general,false,false,false,Hotel Cozumel & Resort,,,,,Cozumel,Quintana Roo,Mexico,,Hotel,"hospitality, openstreetmap",,0,,OpenStreetMap,"https://maps.google.com/?q=20.498737,-86.9608819",https://www.openstreetmap.org/node/365296637,Visit Google Maps listing to get contact info,"Hola equipo de Hotel Cozumel & Resort, espero que estén bien. Me dirijo a ustedes desde Recrea Construction, una empresa de construcción premium con sede en la Riviera Maya, México. Entendemos que en Cozumel, la demanda de infraestructura de alta calidad es constante y creciente. En Recrea Construction, nos especializamos en ofrecer servicios de construcción personalizados y de alta calidad, desde diseño hasta entrega de proyectos. Nos encantaría explorar cómo podemos ayudar a Hotel Cozumel & Resort a ampliar o mejorar sus instalaciones. ¿Les gustaría agendar una reunión o conversar un poco más sobre nuestros servicios vía WhatsApp? 

Recrea Construction Riviera Maya",2026-03-14T01:29:06.549Z
Medium,general,false,false,false,coco limited,,,,,Tulum,Quintana Roo,Mexico,,Hotel,"hospitality, openstreetmap",,0,,OpenStreetMap,"https://maps.google.com/?q=20.1607593,-87.4541626",https://www.openstreetmap.org/node/368844891,Visit Google Maps listing to get contact info,"Hola Coco Limited, espero que estén bien en Tulum. Me dirijo a ustedes como representante de Recrea Construction, una empresa de construcción premium en la Riviera Maya. Entendemos que como propietarios de un hotel en esta hermosa región, es importante contar con servicios de construcción de alta calidad. En Recrea Construction, ofrecemos servicios personalizados para satisfacer las necesidades de nuestros clientes, desde diseño hasta entrega de proyectos. Me gustaría saber más sobre sus necesidades actuales y cómo podemos apoyarlos. ¿Podríamos conversar más a fondo sobre esto vía WhatsApp o en una reunión en su hotel en Tulum? Recrea Construction Riviera Maya",2026-03-14T01:29:07.490Z
Medium,general,false,false,false,El Cid,,,,,Cozumel,Quintana Roo,Mexico,,Hotel,"hospitality, openstreetmap",,0,,OpenStreetMap,"https://maps.google.com/?q=20.4801001,-86.9729891",https://www.openstreetmap.org/node/388350577,Visit Google Maps listing to get contact info,"Estimado El Cid, espero que esté bien. Me dirijo a usted desde Recrea Construction, una empresa de construcción premium en la Riviera Maya. Entendemos que como parte de El Cid | Hotel en Cozumel, usted busca siempre mejorar y expandir sus instalaciones para ofrecer la mejor experiencia a sus huéspedes. En Recrea Construction, ofrecemos servicios de construcción personalizados y de alta calidad que podrían ser de gran valor para su empresa. Me gustaría discutir cómo podemos ayudar a El Cid | Hotel a alcanzar sus objetivos. ¿Podríamos programar una reunión o conversar más a fondo por WhatsApp? 

Recrea Construction Riviera Maya",2026-03-14T01:29:08.671Z
Medium,general,false,false,false,Hotel Barracuda,,,,,Cozumel,Quintana Roo,Mexico,,Hotel,"hospitality, openstreetmap",,0,,OpenStreetMap,"https://maps.google.com/?q=20.5057214,-86.9570633",https://www.openstreetmap.org/node/388350615,Visit Google Maps listing to get contact info,"Hola Hotel Barracuda, espero que se encuentren bien en Cozumel. Me dirijo a ustedes porque entendemos que como establecimiento hotelero, es importante mantener y mejorar sus instalaciones para ofrecer la mejor experiencia a sus huéspedes. En Recrea Construction, nos especializamos en ofrecer servicios de construcción de alta calidad en la Riviera Maya, desde remodelaciones hasta proyectos nuevos. Nos encantaría explorar cómo podemos ayudar a Hotel Barracuda a alcanzar sus objetivos. ¿Podríamos agendar una reunión para discutir más a fondo cómo podemos colaborar? O si lo prefiere, podemos conversar por WhatsApp para empezar. 

Recrea Construction Riviera Maya",2026-03-14T01:29:09.653Z
High,work,false,false,true,Villablanca Garden Beach Hotel,,info@villablanca.net,+52 987 872 0730,https://villablanca.net/,Cozumel,Quintana Roo,Mexico,,Hotel,"hospitality, openstreetmap",,0,,OpenStreetMap,"https://maps.google.com/?q=20.4880192,-86.9680045",https://www.openstreetmap.org/node/401626508,Email info@villablanca.net — offer construction quote for their project,"Hola Villablanca Garden Beach Hotel, espero que todo esté saliendo bien con su proyecto en Cozumel. Me dirijo a ustedes porque Recrea Construction Riviera Maya tiene una larga trayectoria de entrega de proyectos de construcción de alta calidad en la región. Me gustaría ofrecerles una cotización gratuita y personalizada para su proyecto, adaptada a las necesidades específicas de su hotel. Si están interesados, podemos discutir los detalles a través de WhatsApp o en una reunión en su ubicación. Por favor, no duden en hacerme saber si necesitan algo. Recrea Construction Riviera Maya",2026-03-14T01:29:10.805Z
Medium,general,false,false,false,Casa Tucan,,,,http://www.casatucan.de/,Playa del Carmen,Quintana Roo,Mexico,,Hotel,"hospitality, openstreetmap",,0,,OpenStreetMap,"https://maps.google.com/?q=20.624801,-87.0754026",https://www.openstreetmap.org/node/604986452,Visit http://www.casatucan.de/ and find contact form,"Hola Casa Tucan, espero que estén bien en Playa del Carmen. Me dirijo a ustedes porque entendemos que como hotel en la zona, es importante contar con infraestructura de alta calidad. En Recrea Construction, ofrecemos servicios de construcción premium en la Riviera Maya, desde diseño hasta entrega de proyectos. Nos encantaría explorar cómo podemos apoyar a Casa Tucan en sus necesidades de construcción. ¿Les gustaría discutir un poco más sobre cómo podemos ayudar? Pueden responder a este mensaje de WhatsApp o podemos programar una reunión en su conveniencia. Recrea Construction Riviera Maya",2026-03-14T01:29:11.636Z
Medium,general,false,false,false,Posada Mawimbi,,,,,Holbox,Quintana Roo,Mexico,,Hotel,"hospitality, openstreetmap",,0,,OpenStreetMap,"https://maps.google.com/?q=21.5258994,-87.377658",https://www.openstreetmap.org/node/662487373,Visit Google Maps listing to get contact info,"Hola Posada Mawimbi, espero que esté bien. Me dirijo a usted desde Recrea Construction, una empresa de construcción premium en la Riviera Maya. Entendemos que como gerente de Posada Mawimbi | Hotel en Holbox, siempre busca la excelencia en los proyectos de construcción y remodelación. Nuestros servicios van desde la construcción de hoteles y residencias de lujo hasta la remodelación y diseño de interiores. Me gustaría conversar con usted sobre cómo podemos ayudar a Posada Mawimbi a alcanzar sus objetivos. ¿Podríamos hablar por WhatsApp o programar una reunión para discutir más a fondo? 

Recrea Construction Riviera Maya",2026-03-14T01:29:12.470Z
Medium,general,false,false,false,Los Lirios,,,,http://www.loslirioshotel.com/,Tulum,Quintana Roo,Mexico,,Hotel,"hospitality, openstreetmap",,0,,OpenStreetMap,"https://maps.google.com/?q=20.1555292,-87.4561661",https://www.openstreetmap.org/node/674297671,Visit http://www.loslirioshotel.com/ and find contact form,"Hola Los Lirios, espero que estén bien en Tulum. Me dirijo a ustedes porque entendemos que como hotel en la zona, es importante mantener y mejorar sus instalaciones para ofrecer la mejor experiencia a sus huéspedes. En Recrea Construction, nos especializamos en ofrecer servicios de construcción de alta calidad en la Riviera Maya. Nos encantaría explorar cómo podemos apoyar a Los Lirios | Hotel en sus proyectos de construcción y remodelación. ¿Les gustaría discutir más sobre nuestros servicios vía WhatsApp o reunirnos en Tulum para conversar sobre cómo podemos ayudarles? 

Recrea Construction Riviera Maya",2026-03-14T01:29:13.315Z
